Pres,Type,ID,slope,perm,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,sden.mean,sden.std,avgEVI.lag,sum.days.above.21
0,NA,112,0.338134229,92.98075867,26.48130035,-35.64003754,118,8,581.1414185,92.9009552,0.217128351,14
0,NA,113,0.231893227,28.28824234,28.05088043,-36.9074173,102,0,585.5460815,89.27440643,0.385611892,14
0,NA,114,0.397050887,10.16422367,30.90258217,-38.84028244,100,0,585.5460815,89.27440643,0.259283751,16
0,NA,115,0.469600677,12.5413723,30.33916473,-43.52018738,102,0,582.0352173,86.39884949,0.339645565,16
0,NA,116,0.415646583,26.647192,27.71993065,-32.55891037,112,9,564.5529785,92.10186768,0.329443425,14
0,NA,117,0.175613642,50.39789581,26.22455406,-30.88857651,113,8,581.1414185,92.9009552,0.388769001,16
0,NA,118,0.027564535,89.18323517,27.43523216,-41.20999908,111,10,601.8878174,73.07639313,0.404530168,16
0,NA,119,0.275057018,51.13643646,26.27435875,-30.0451355,110,8,577.7645264,97.71113586,0.291442275,16
0,NA,120,0.232212245,22.83161354,28.43766022,-43.22190857,101,0,577.7645264,97.71113586,0.450116694,16
0,NA,121,0.440239459,12.78686428,29.08494568,-43.27490616,104,0,568.6929932,95.9761734,0.362324804,16
0,NA,122,0.120865889,58.72436142,26.42842293,-32.79990768,109,8,581.1414185,92.9009552,0.271054327,13
0,NA,123,0.615636826,101.7336197,31.19561005,-58.47000122,111,0,585.5460815,89.27440643,0.18618013,14
0,NA,124,0.004513609,90.6734848,25.99147034,-31.78308868,113,7,581.1414185,92.9009552,0.259938091,13
0,NA,125,0.028770057,104,25.93713188,-33.51093674,112,8,581.1414185,92.9009552,0.249726102,14
0,NA,126,0.069090366,14.26533413,26.30088234,-30.76667404,112,8,583.6119995,88.20030212,0.334276289,16
0,NA,127,0.029189453,104,29.83333015,-58.25,108,0,585.5460815,89.27440643,0.271365792,15
0,NA,128,0.016339682,101.7829514,29.3496418,-57.06999969,101,0,583.2237549,89.29563141,0.337544769,12
0,NA,129,0.17491965,104,29.0230732,-58.25,104,0,583.6119995,88.20030212,0.209091753,12
0,NA,130,0.222187519,14.01467228,26.03787041,-40.76720428,117,8,604.1850586,74.03622437,0.164568081,15
0,NA,131,0.535625756,35.3379097,25.73666382,-29.96078682,107,7,577.7645264,97.71113586,0.320571452,12
0,NA,132,0.054575767,32.3498497,29.87145996,-37.70861816,111,0,583.6119995,88.20030212,0.31528011,15
