Pres,Type,ID,max.sum,min.wint,wint.days.below.neg5,wint.days.above.0,perm,sden.mean,sden.std,avgEVI.lag,slope,sum.days.above.21
0,NA,88,28.48012352,-32.72677994,108,9,13.94741058,165.0757188,27.91757556,0.401124872,0.015918195,20
0,NA,89,26.57536507,-29.9276886,111,8,54.85236359,166.6354951,25.51313653,0.342644751,0.346784413,16
0,NA,90,27.16109467,-34.37568283,122,6,91.02275848,170.579892,22.12962472,0.279495696,0.084638581,12
0,NA,91,29.87145996,-37.70861816,111,0,38.88564301,166.7464277,25.20018355,0.34219816,0.024025677,15
0,NA,92,28.52859879,-33.73895264,104,8,101,165.0757188,27.91757556,0.451684304,0.023659727,18
0,NA,93,29.47463989,-43.25,106,0,47.91748047,162.4838596,27.42187316,0.421393132,0.092553884,16
0,NA,94,28.43766022,-43.22190857,101,0,104,165.0757188,27.91757556,0.429065848,0.329308122,16
0,NA,95,27.02391052,-31.24786377,116,8,36.4385376,166.7464277,25.20018355,0.38614734,0.313116074,16
0,NA,96,29.34232521,-43.36548996,105,0,66.45830536,166.2959065,24.68548152,0.472903252,0.24363327,17
0,NA,97,30.82919884,-35.70321655,101,0,104,167.2990157,25.50706813,0.25509645,0.460342467,18
0,NA,98,26.48130035,-35.64003754,118,8,47.09922409,166.0405743,26.54323883,0.224753482,0.028628817,14
0,NA,99,27.43523216,-41.20999908,111,10,19.71480751,171.9680909,20.87906532,0.42766694,0.178574249,16
0,NA,100,25.73666382,-29.96078682,107,7,42.32178497,165.0757188,27.91757556,0.336920189,0.166373447,12
0,NA,101,26.51659966,-36.92970657,114,10,24.86958313,171.9680909,20.87906532,0.257356728,0.091615826,17
0,NA,102,25.93713188,-33.51093674,112,8,66.53413391,166.0405743,26.54323883,0.288859909,0.089099027,14
0,NA,103,29.96044731,-58.25,114,0,104,167.2990157,25.50706813,0.23042844,0.026196463,16
0,NA,104,26.48840332,-39.93954468,115,8,104,172.6244362,21.15329319,0.124646493,0.277623087,15
0,NA,105,27.16109467,-34.37568283,122,6,52.09692001,170.579892,22.12962472,0.297424992,0.035020579,12
0,NA,106,29.75043106,-43.25,108,0,29.81949043,162.4838596,27.42187316,0.400931209,0.080934219,16
0,NA,107,28.36858559,-32.13487244,106,9,57.55049133,162.4838596,27.42187316,0.400182282,0.07922294,16
0,NA,108,27.98000145,-31.55735588,121,9,104,166.7464277,25.20018355,0.296189845,0.008839207,16
0,NA,109,25.73666382,-29.96078682,107,7,10.6616087,165.0757188,27.91757556,0.280969056,0.639090419,12
0,NA,110,29.24218559,-43.20653534,106,0,25.75086594,162.4838596,27.42187316,0.457213302,0.090318665,16
0,NA,111,29.34232521,-43.36548996,105,0,37.58259964,166.2959065,24.68548152,0.507484794,0.185820654,17
0,NA,112,26.31354904,-36.57884216,115,8,104,166.0405743,26.54323883,0.227674901,0.024239125,15
